Москва,Проф.область,1/1/2014,2/1/2014,3/1/2014,4/1/2014,5/1/2014,6/1/2014,7/1/2014,8/1/2014,9/1/2014,10/1/2014,11/1/2014,12/1/2014,1/1/2015,2/1/2015,3/1/2015,4/1/2015,5/1/2015,6/1/2015,7/1/2015,8/1/2015,9/1/2015,10/1/2015,11/1/2015
"Средняя предлагаемая зарплата, руб.",Продажи,"61,886","64,002","64,445","64,705","65,000","63,836","65,380","65,294","66,953","64,685","63,032","62,700","63,771","64,548","63,044","64,103","64,632","65,717","64,609","64,285","65,220","64,047","63,975"
"Средняя предлагаемая зарплата, руб.","IT, телеком","84,954","89,799","87,340","87,840","88,432","86,036","88,470","89,343","88,098","86,686","85,308","86,707","89,080","89,248","90,373","89,900","85,518","88,894","88,838","86,498","87,183","87,033","88,660"
"Средняя предлагаемая зарплата, руб.",Администрация,"36,771","36,507","36,682","37,109","37,803","38,099","39,575","38,690","37,815","37,643","37,326","38,934","38,165","37,790","37,693","38,334","38,316","37,599","38,210","37,774","38,108","38,172","39,430"
"Средняя предлагаемая зарплата, руб.",Бухгалтерия,"64,315","63,761","62,979","64,903","65,225","63,363","65,727","66,359","63,780","62,541","62,658","63,952","62,160","61,503","60,775","61,677","60,351","60,426","61,009","63,752","64,671","61,161","61,624"
"Средняя предлагаемая зарплата, руб.","Маркетинг, PR","67,496","74,083","70,858","69,922","73,780","71,088","72,285","71,903","69,027","72,678","70,512","69,408","69,067","71,151","70,757","66,842","67,843","69,831","69,720","73,530","67,166","70,149","68,586"
"Средняя предлагаемая зарплата, руб.","Банки, лизинг","40,340","39,298","37,882","37,800","37,933","38,775","39,428","39,634","39,516","39,222","38,047","37,808","39,034","38,293","37,757","39,746","39,192","39,685","39,099","37,474","38,454","38,572","36,548"
"Средняя предлагаемая зарплата, руб.",Начало карьеры,"39,192","40,891","41,086","39,878","42,763","40,430","43,958","46,794","40,610","41,724","42,003","42,740","43,000","43,416","42,104","45,236","39,120","40,178","42,861","44,524","42,285","43,461","44,311"
"Средняя предлагаемая зарплата, руб.",Недвижимость,"72,041","69,210","69,066","67,744","70,217","70,611","67,393","71,097","67,282","72,250","71,140","69,963","65,903","69,069","65,867","67,533","67,663","64,778","68,123","67,271","65,082","65,628","64,330"
"Средняя предлагаемая зарплата, руб.",Логистика,"59,090","52,841","56,544","60,146","60,463","59,158","58,614","56,828","56,771","57,113","55,216","53,813","54,400","52,487","50,026","51,799","52,239","57,047","59,765","57,633","56,873","54,168","57,530"
"Средняя предлагаемая зарплата, руб.","Медицина, фарма","62,840","61,107","61,528","58,865","62,081","64,911","60,837","67,137","62,691","64,570","64,653","61,010","62,248","64,642","63,186","65,058","65,093","65,386","65,579","67,838","70,208","65,849","67,342"
"Средняя предлагаемая зарплата, руб.",Автомобили,"59,747","62,645","66,230","64,299","60,598","66,084","66,751","66,594","66,872","67,557","65,968","66,968","65,072","64,272","62,617","63,110","60,407","59,410","60,988","58,969","62,475","59,924","58,102"
"Средняя предлагаемая зарплата, руб.",Производство,"71,497","70,142","71,564","74,835","61,396","73,523","68,683","70,205","74,952","65,907","71,305","67,281","65,136","68,629","66,005","66,985","69,021","64,535","68,021","65,808","65,274","63,768","64,248"
"Средняя предлагаемая зарплата, руб.",Топ-менеджмент,"190,365","223,434","241,844","265,325","223,842","202,741","214,544","229,316","217,082","223,837","193,720","222,149","198,218","184,352","196,762","187,663","177,676","186,748","209,713","229,166","190,605","188,214","198,733"
"Средняя предлагаемая зарплата, руб.","HR, тренинги","67,293","67,086","67,322","65,402","68,642","64,392","58,452","64,394","62,504","59,152","60,595","65,294","65,310","68,549","69,246","73,149","71,260","69,804","68,806","69,269","62,312","65,561","67,021"
"Средняя предлагаемая зарплата, руб.",Юристы,"60,783","61,522","61,193","61,332","59,662","58,089","59,620","62,555","61,627","61,246","61,319","60,517","60,804","60,029","59,343","59,087","58,982","61,519","60,835","61,168","62,571","60,348","63,628"
"Средняя предлагаемая зарплата, руб.",Все сферы,"58,454","58,932","58,542","58,894","60,179","59,044","60,092","60,660","58,872","59,394","58,360","58,447","58,287","58,612","57,599","58,352","57,208","58,239","59,137","59,193","58,338","58,043","58,333"